text,label,clean_text,text_length
Analyst call of the day for @CNBCPro subscribers: Citi added a positive catalyst watch to Delta and said it sees “upside risk.”  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/eAYz0ec9dO,0,analyst call of the day for cnbcpro subscribers citi added a positive catalyst watch to delta and said it sees upside risk subscribe to see the analyst calls of the day curated by cnbc pro,188
"Apple's near-term future looks murky as consumer spending slows, Bernstein says  https://t.co/21T9LREta4",0,apples nearterm future looks murky as consumer spending slows bernstein says,76
"Buy Tesla in the short term to capture potential upside from earnings, says Deutsche Bank  https://t.co/Q4MqoSVmXJ",0,buy tesla in the short term to capture potential upside from earnings says deutsche bank,88
"Here are Monday's biggest analyst calls of the day: Tesla, Apple, Yum, Delta, Fox, Netflix &amp; more  https://t.co/Pt2oqzwPvB",0,here are mondays biggest analyst calls of the day tesla apple yum delta fox netflix amp more,92
"Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  https://t.co/40yhalOoOU",0,deutsche bank downgrades general motors cites looming pricing risks to automakers,81
"Morgan Stanley downgrades Paramount and Fox, warns of possible 'streaming recession'  https://t.co/apofBK4yVZ",0,morgan stanley downgrades paramount and fox warns of possible streaming recession,81
"Buy Yum Brands to defend against a slowdown in consumer spending, Goldman Sachs says  https://t.co/88zGuVwEXi",0,buy yum brands to defend against a slowdown in consumer spending goldman sachs says,83
Analysts reveal the top stocks with 'significant upside potential' heading into earnings  https://t.co/lfaLK3nwAz,0,analysts reveal the top stocks with significant upside potential heading into earnings,86
Argus downgrades Delta citing weak outlook following second-quarter earnings  https://t.co/MuWXm66fAo,0,argus downgrades delta citing weak outlook following secondquarter earnings,75
"Analyst call of the day for @CNBCPro subscribers: Bank of America kept its buy rating on shares of Nvidia, but said any weakness in the stock could impact other semiconductor companies.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/lHRN17009h",0,analyst call of the day for cnbcpro subscribers bank of america kept its buy rating on shares of nvidia but said any weakness in the stock could impact other semiconductor companies subscribe to see the analyst calls of the day curated by cnbc pro,247
"Here are Friday's biggest analyst calls of the day: McDonald's, Netflix, Amazon, Nvidia, Visa &amp; more  https://t.co/DyiE4GH2LD",0,here are fridays biggest analyst calls of the day mcdonalds netflix amazon nvidia visa amp more,95
"Bernstein calls medtech company Dexcom a clear buy, citing long-term runway for diabetes management  https://t.co/y3RmrIhMwz",0,bernstein calls medtech company dexcom a clear buy citing longterm runway for diabetes management,97
"UBS slashes Netflix price target ahead of earnings, warns of cautious outlook for streaming giant  https://t.co/x3f9WNCS2o",0,ubs slashes netflix price target ahead of earnings warns of cautious outlook for streaming giant,96
"BMO cuts Microsoft price target, citing pressure on software valuations and potential recession  https://t.co/JUOYvrXXVx",0,bmo cuts microsoft price target citing pressure on software valuations and potential recession,94
Edward Jones says buy Qualcomm as the chipmaker's pullback creates an attractive buying opportunity  https://t.co/rVOfTewDXw,0,edward jones says buy qualcomm as the chipmakers pullback creates an attractive buying opportunity,98
Credit Suisse adds financials to its top stock picks for July  https://t.co/CoPMyQ0L7S,0,credit suisse adds financials to its top stock picks for july,61
"Here are Thursday's biggest analyst calls: Tesla, Amazon, Twitter, Qualcomm, Costco, Apple &amp; more  https://t.co/ISMHM2UZRJ",0,here are thursdays biggest analyst calls tesla amazon twitter qualcomm costco apple amp more,92
"Deutsche Bank upgrades Costco to buy, says club business model will outperform in uncertain economy  https://t.co/rVFXlknshz",0,deutsche bank upgrades costco to buy says club business model will outperform in uncertain economy,98
"Morgan Stanley's Jonas trims price target for Tesla, citing slowing economy  https://t.co/XvfRerTNGr",0,morgan stanleys jonas trims price target for tesla citing slowing economy,73
"BMO upgrades Advanced Micro Devices, says chipmaker is gaining market share from rivals  https://t.co/3kGsQnHJ0D",0,bmo upgrades advanced micro devices says chipmaker is gaining market share from rivals,86
"Bank of America slashes S&amp;P 500 target, sees stocks falling another 5% by year-end  https://t.co/CC02X5ZguX",0,bank of america slashes sampp target sees stocks falling another by yearend,75
"Truist initiates coverage of Tesla with a buy rating and $1,000 price target  https://t.co/ecDt58j4Cz",0,truist initiates coverage of tesla with a buy rating and price target,69
Goldman says this stock is a smart defensive play in the economically sensitive construction group  https://t.co/pBgwsq06Ok,0,goldman says this stock is a smart defensive play in the economically sensitive construction group,98
Wall Street bets on analysts cutting earnings estimates as the economy shows signs of slowing  https://t.co/RFaVYNxnk7,0,wall street bets on analysts cutting earnings estimates as the economy shows signs of slowing,93
Raymond James says Bath &amp; Body Works is oversold and will jump nearly 70% from here  https://t.co/SpGPi6zVko,0,raymond james says bath amp body works is oversold and will jump nearly from here,81
"Analyst call of the day for @CNBCPro subscribers: Citi reiterates Nvidia as buy. It lowered its price target on Nvidia to $285 per share from $315, but said gaming weakness is priced in.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/Mczemx4nek",0,analyst call of the day for cnbcpro subscribers citi reiterates nvidia as buy it lowered its price target on nvidia to per share from but said gaming weakness is priced in subscribe to see the analyst calls of the day curated by cnbc pro,237
Company downgrades are picking up steam as profit outlooks dim  https://t.co/89B4wuA8NS,0,company downgrades are picking up steam as profit outlooks dim,62
"Morgan Stanley names its top stocks in a ""safe haven"" tech sector — giving one upside of 60%  https://t.co/EJWD9uzzzP",0,morgan stanley names its top stocks in a safe haven tech sector giving one upside of,84
"Susquehanna downgrades JetBlue, cites struggles with cost structure  https://t.co/eVYtLZGWaf",0,susquehanna downgrades jetblue cites struggles with cost structure,66
"Here are Tuesday's biggest analyst calls: Tesla, Apple, Gap, JPMorgan chase, Nvidia, Southwest  https://t.co/PDr6BL9S9j",0,here are tuesdays biggest analyst calls tesla apple gap jpmorgan chase nvidia southwest,87
Morgan Stanley downgrades American Express on lower spending among high-end consumers  https://t.co/LhzFvUMP2i,0,morgan stanley downgrades american express on lower spending among highend consumers,84
"Citi upgrades JPMorgan Chase to buy, says stock is at an attractive entry point  https://t.co/8sEdKZNOq2",0,citi upgrades jpmorgan chase to buy says stock is at an attractive entry point,78
Morgan Stanley names its top stocks in a ‘safe haven’ tech sector — giving one upside of 60%  https://t.co/IDWpetaIFr,0,morgan stanley names its top stocks in a safe haven tech sector giving one upside of,84
"UBS cuts S&amp;P 500 price target for 2022, says earnings estimates could go down even more  https://t.co/QUc93a9bkg",0,ubs cuts sampp price target for says earnings estimates could go down even more,79
Evercore ISI says 'gazumped growth growers' could do well in a potentially tough earnings season  https://t.co/I1nrduZ7UB,0,evercore isi says gazumped growth growers could do well in a potentially tough earnings season,94
"Evercore ISI cuts S&amp;P 500 target, citing slower growth and lower earnings  https://t.co/DdYg7qX1wd",0,evercore isi cuts sampp target citing slower growth and lower earnings,70
"Shares of Mattel could see more than 30% upside on TV and movie releases, Goldman Sachs says  https://t.co/iRAGaxXr1t",0,shares of mattel could see more than upside on tv and movie releases goldman sachs says,87
"Occidental Petroleum looks overbought after its rally this year, Goldman Sachs says  https://t.co/E1t7DwKUxM",0,occidental petroleum looks overbought after its rally this year goldman sachs says,82
Analyst call of the day for @CNBCPro subscribers: Cowen reiterates Apple as outperform and says the stock remains a “defensive name” heading into earnings later this month.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/qUf6a7HXO4,0,analyst call of the day for cnbcpro subscribers cowen reiterates apple as outperform and says the stock remains a defensive name heading into earnings later this month subscribe to see the analyst calls of the day curated by cnbc pro,233
"Here are Monday's biggest analyst calls: Apple, Amazon, Meta, Honeywell, CVS, Mattel, Qorvo &amp; more  https://t.co/PAkmEd0o4E",0,here are mondays biggest analyst calls apple amazon meta honeywell cvs mattel qorvo amp more,92
"Bank of America upgrades Honeywell to buy, citing potential growth in aerospace and oil and gas  https://t.co/LY8knvUUoJ",0,bank of america upgrades honeywell to buy citing potential growth in aerospace and oil and gas,94
"It's time to sell Meta until it figures out the metaverse, Needham says in downgrade  https://t.co/KZ6bGZicgk",0,its time to sell meta until it figures out the metaverse needham says in downgrade,82
"Bank of America shares are a compelling buy even in a recession, Societe Generale says in upgrade  https://t.co/9hqnRT1ogm",0,bank of america shares are a compelling buy even in a recession societe generale says in upgrade,96
Cowen downgrades chip stock Qorvo as demand for smartphone slows  https://t.co/OSnynL1SN3,0,cowen downgrades chip stock qorvo as demand for smartphone slows,64
"$COF (104.70, -2.47, -2.3%): Capital One was downgraded to Perform from Outperform at Oppenheimer and downgraded to Equal-Weight from Overweight at Morgan Stanley",0,cof capital one was downgraded to perform from outperform at oppenheimer and downgraded to equalweight from overweight at morgan stanley,136
"$ZG: Zillow finally gets an analyst upgrade, which we found notable, but will other firms follow suit?  https://t.co/WR1thzlRb8",0,zg zillow finally gets an analyst upgrade which we found notable but will other firms follow suit,97
"@FibonacciSQNC ""E"" estimates been coming down sharply ex-Oil/Gas as well, feels a lot positioned for nasty outlooks, think could surprise",0,fibonaccisqnc e estimates been coming down sharply exoilgas as well feels a lot positioned for nasty outlooks think could surprise,130
$PYPL Morgan Stanley maintained Paypal coverage with Overweight and $129 PT .... im still long,0,pypl morgan stanley maintained paypal coverage with overweight and pt im still long,83
JMP Securities maintained $HOOD coverage with a market Outperform and $28 price target,0,jmp securities maintained hood coverage with a market outperform and price target,81
$FRLN just out: Wedbush Outperform rating and $3 PT,0,frln just out wedbush outperform rating and pt,46
$EPIX Just out: $25 price target at Zacks Small Cap Research  https://t.co/AhL91TafQl,0,epix just out price target at zacks small cap research,54
AM Best Removes From Under Review With Negative Implications and Affirms Credit Ratings of R&amp;Q Insurance Holdings Ltd. and Rated Subsidiaries  https://t.co/5CxW4lNxPC  https://t.co/OT5wh3hFpC,0,am best removes from under review with negative implications and affirms credit ratings of rampq insurance holdings ltd and rated subsidiaries,142
KBRA Assigns Preliminary Ratings to Progress Residential 2022-SFR6  https://t.co/51Sdyk17wk  https://t.co/eZl28Rf6Ac,0,kbra assigns preliminary ratings to progress residential sfr,60
KBRA Commentary on Fire Near Starz Mortgage Securities 2021-1 DAC Brixton Loan Collateral  https://t.co/G55xhqhEgz  https://t.co/MDpq4rxruQ,0,kbra commentary on fire near starz mortgage securities dac brixton loan collateral,82
AM Best Places Credit Ratings of Brightsideco Insurance Limited Under Review With Negative Implications  https://t.co/HtnytwDNYY  https://t.co/24IlfA9zmF,0,am best places credit ratings of brightsideco insurance limited under review with negative implications,103
Ventas’s Outlook Revised by Fitch Ratings to Stable  https://t.co/i6CVfL0skF  https://t.co/3ps8EgKAeo,0,ventass outlook revised by fitch ratings to stable,50
AM Best Revises Outlooks to Positive for Frank Winston Crum Insurance Company  https://t.co/EmZy6sevSL  https://t.co/NeBRmF4EZS,0,am best revises outlooks to positive for frank winston crum insurance company,77
AM Best Comments on Credit Ratings of Covéa Coopérations and PartnerRe Ltd. Following Sale Completion  https://t.co/ZgLYM3one6  https://t.co/pLAIiXalIr,0,am best comments on credit ratings of cova cooprations and partnerre ltd following sale completion,98
AM Best Comments on Credit Ratings of Athora Holding Ltd.’s Subs Following its Announced Acquisition of a Closed Life and Pension Portfolio  https://t.co/ewg89dtPPE  https://t.co/tIrduKQ5oZ,0,am best comments on credit ratings of athora holding ltds subs following its announced acquisition of a closed life and pension portfolio,137
AM Best Affirms Credit Ratings of Crum &amp; Forster Insurance Group’s Members and Monitor Life Insurance Company of New York  https://t.co/qam1VLkFfA  https://t.co/7mrO8NXkgv,0,am best affirms credit ratings of crum amp forster insurance groups members and monitor life insurance company of new york,122
AM Best Assigns Credit Ratings to ONIX Asigurari S.A.  https://t.co/xdZ7EM0piV  https://t.co/bVeXWEySbJ,0,am best assigns credit ratings to onix asigurari sa,51
NICE Named a Leader in Journey Orchestration by Top Analyst Firm  https://t.co/w5QJnqrfXg  https://t.co/avXD4NTLbL,0,nice named a leader in journey orchestration by top analyst firm,64
S&amp;P Affirms Assured Guaranty’s AA Financial Strength Ratings with Stable Outlook  https://t.co/f8ZnN9u0tX,0,sampp affirms assured guarantys aa financial strength ratings with stable outlook,81
AM Best Places Credit Ratings of Western Health Advantage Under Review With Developing Implications  https://t.co/Ga6r7bpkjG  https://t.co/DOaZpuRkYA,0,am best places credit ratings of western health advantage under review with developing implications,99
JPMorgan analysts have put out their monthly list of top-idea stocks  https://t.co/LuVncnTPN8,0,jpmorgan analysts have put out their monthly list of topidea stocks,67
Grizzly Research's bear report on NIO highlights possible accounting issues and corporate governance red flags  https://t.co/75WEh5PQGX,0,grizzly researchs bear report on nio highlights possible accounting issues and corporate governance red flags,109
JPMorgan analysts have put out their monthly list of top-idea stocks  https://t.co/yw6c0DSCqB,0,jpmorgan analysts have put out their monthly list of topidea stocks,67
Klarna’s valuation slashed to under $7bn in latest funding round  https://t.co/AxssvjoZ4L,0,klarnas valuation slashed to under bn in latest funding round,61
"Kraft Heinz coverage started at buy at Mizuho, citing 'portfolio with potential'  https://t.co/oEalu6AJ6e",0,kraft heinz coverage started at buy at mizuho citing portfolio with potential,77
"JPMorgan lifted to hold from sell at Berenberg, because 'good banks have bad years'  https://t.co/Ybixekqctt",0,jpmorgan lifted to hold from sell at berenberg because good banks have bad years,80
Bank of America slashes S&amp;P 500 target to ‘lowest on the Street’ after recession forecast  https://t.co/7LfsnQnpEx,0,bank of america slashes sampp target to lowest on the street after recession forecast,85
"Twitter has a new bullish backer on Wall Street, as Rosenblatt Securities said the social media’s company’s disclosures have “flipped” the narrative, and now makes Elon Musk look like the bad guy.    https://t.co/8MBXxJaDHB",0,twitter has a new bullish backer on wall street as rosenblatt securities said the social medias companys disclosures have flipped the narrative and now makes elon musk look like the bad guy,189
"“[T]witter’s disclosure of very detailed efforts to explain its spam bot calculations to Musk, and Musk’s reluctance to engage, largely ends our skepticism about Twitter, and instead makes us skeptical about Musk,” one analyst wrote.  https://t.co/qO1oI2aOYQ",0,twitters disclosure of very detailed efforts to explain its spam bot calculations to musk and musks reluctance to engage largely ends our skepticism about twitter and instead makes us skeptical about musk one analyst wrote,222
Klarna valuation slashed to $6.7 billion from $45.6 billion in new funding round  https://t.co/TtVB8QkhtR,0,klarna valuation slashed to billion from billion in new funding round,69
"$LULU $FTCH $JWN - Lululemon, Nike and Nordstrom headline KeyBanc's list of top retail picks  https://t.co/qlqRDXMsdC",0,lulu ftch jwn lululemon nike and nordstrom headline keybancs list of top retail picks,85
"$NXPI $ON $NVDA - Citi gets positive on NXP, ON, as firm says semiconductor rally could last into August  https://t.co/CFla3nO61i",0,nxpi on nvda citi gets positive on nxp on as firm says semiconductor rally could last into august,97
"$TMUS $T $VZ - Citi still sees solid revenue growth in broadband, wireless despite headwinds  https://t.co/KuHvQnbx8S",0,tmus t vz citi still sees solid revenue growth in broadband wireless despite headwinds,86
$MORF - Morphic coverage initiated with Outperform by SVB Securities  https://t.co/jprWFc8k82,0,morf morphic coverage initiated with outperform by svb securities,65
$RGEN - Repligen attracts initial bull rating at UBS Group on long-term growth prospects  https://t.co/KrUSj8h57O,0,rgen repligen attracts initial bull rating at ubs group on longterm growth prospects,84
"$WWW $BIRD $PLBY - Stifel downgrades Allbirds, Wolverine, PLBY in downbeat retail review  https://t.co/pb0XVrknY2",0,www bird plby stifel downgrades allbirds wolverine plby in downbeat retail review,81
"$GOOG $GOOGL - Exane hits sidelines on Alphabet amid ad pressures, rival headwinds  https://t.co/uAM3RGaCae",0,goog googl exane hits sidelines on alphabet amid ad pressures rival headwinds,77
$ALLY - Ally Financial downgraded to In Line as delinquency rates rise  https://t.co/oWHXbO69wx,0,ally ally financial downgraded to in line as delinquency rates rise,67
$EXLS $G $WNS - Citi downgrades ExlService to sell over premium valuation  https://t.co/TSkwXlEy7b,0,exls g wns citi downgrades exlservice to sell over premium valuation,68
$CMI - Cummins downgraded at Bernstein due to slowing demand  https://t.co/RP78Ynlzfb,0,cmi cummins downgraded at bernstein due to slowing demand,57
$CZR - Caesars Entertainment set to Sell-equivalent at Susquehanna amid softening demand  https://t.co/xJCG13NTzV,0,czr caesars entertainment set to sellequivalent at susquehanna amid softening demand,84
$VBLT - Vascular Biogenics cut to Neutral at HC Wainwright after trial failure sinks stock 79%  https://t.co/vgaNXslpim,0,vblt vascular biogenics cut to neutral at hc wainwright after trial failure sinks stock,87
"$BMBL $MTCH - J.P. Morgan cuts online dating estimates on macro issues, but stays positive  https://t.co/2ReUS3ICQL",0,bmbl mtch jp morgan cuts online dating estimates on macro issues but stays positive,83
$HBM $FQVLF $FNV - Hudbay Minerals upgraded at Barclays as value emerges after copper selloff  https://t.co/zcNwKZMMw3,0,hbm fqvlf fnv hudbay minerals upgraded at barclays as value emerges after copper selloff,88
$XOM - Exxon upped to Buy at Piper Sandler with refinery results poised to hit records  https://t.co/3sc3QWazDb,0,xom exxon upped to buy at piper sandler with refinery results poised to hit records,83
$TFC - Truist downgraded to Hold at CFRA with limited prospects in fee income growth  https://t.co/AMbKmRlgjo,0,tfc truist downgraded to hold at cfra with limited prospects in fee income growth,81
$DPZ - Domino’s Pizza positioned to outperform in market down - Baird  https://t.co/LrcuKC1NU9,0,dpz dominos pizza positioned to outperform in market down baird,63
"$TAK $ARWR - Takeda upgraded to outperform at Cowen on valuation, cash flow  https://t.co/IBn8HJy4Uz",0,tak arwr takeda upgraded to outperform at cowen on valuation cash flow,70
$APLS - H.C. Wainwright sees blockbuster potential for Apellis' treatment in eye degeneration  https://t.co/T0PBojOolV,0,apls hc wainwright sees blockbuster potential for apellis treatment in eye degeneration,87
$INO - Inovio Pharmaceuticals slotted at Sector Perform by RBC Capital in initial rating look  https://t.co/wjcHmNnug2,0,ino inovio pharmaceuticals slotted at sector perform by rbc capital in initial rating look,90
"$BECN - Beacon Roofing Supply cut at William Blair on peak margins, slowing housing market  https://t.co/BoAJuUsEAg",0,becn beacon roofing supply cut at william blair on peak margins slowing housing market,86
"$KLAC $AMAT $INTC - KLA Corp., Applied Materials, Intel among expected beneficiaries of CHIPS Act, BofA says  https://t.co/17t5NtgnKf",0,klac amat intc kla corp applied materials intel among expected beneficiaries of chips act bofa says,99
"$INTC - Susquehanna cautious on Intel going into Q2, citing 'deteriorating PC demand'  https://t.co/gM2iS1DUCJ",0,intc susquehanna cautious on intel going into q citing deteriorating pc demand,78
$CZR - Caesars Entertainment is singled out at B. Riley for earnings catalyst potential  https://t.co/gFHkRacSQS,0,czr caesars entertainment is singled out at b riley for earnings catalyst potential,83
$DICE $AMGN - DICE Therapeutics initiated at buy at Wainwright on platform for small molecule drugs  https://t.co/1XWE8vmn2O,0,dice amgn dice therapeutics initiated at buy at wainwright on platform for small molecule drugs,95
"$GM $TSLA - General Motors downgraded at Deutsche amid pricing pressure, recession risks  https://t.co/sFSx4GkPxe",0,gm tsla general motors downgraded at deutsche amid pricing pressure recession risks,83
$CMG - Chipotle loses conviction buy list status at Goldman Sachs but is still a top restaurant pick  https://t.co/tDOo4YYzXY,0,cmg chipotle loses conviction buy list status at goldman sachs but is still a top restaurant pick,97
$BKNG - Booking Holdings called out at Evercore ISI for near-term upside  https://t.co/WgqhNa0r3r,0,bkng booking holdings called out at evercore isi for nearterm upside,68
$SHOO $RCKY $WWW - B. Riley expects footwear stocks to stand firm amid market turmoil  https://t.co/6mJAlZuIPL,0,shoo rcky www b riley expects footwear stocks to stand firm amid market turmoil,79
$PEN - Penumbra gains as RBC initiates at Outperform with 59% upside  https://t.co/5NRlEQwDJP,0,pen penumbra gains as rbc initiates at outperform with upside,61
$MITT - Keefe Bruyette analyst downgrades AG Mortgage Investment Trust over sector concerns  https://t.co/jxSU3dUoB9,0,mitt keefe bruyette analyst downgrades ag mortgage investment trust over sector concerns,88
$HOLX - Hologic cut to Neutral at BTIG on macro concerns  https://t.co/mwr2oVj8zZ,0,holx hologic cut to neutral at btig on macro concerns,53
$BL - BlackLine falls after cut sell equivalent at BofA even after M&amp;A speculation  https://t.co/ERGRSXZvBZ,0,bl blackline falls after cut sell equivalent at bofa even after mampa speculation,81
"$IP $GPK - Containerboard check: Wells Fargo downgrades International Paper, calls Graphic Packaging its top pick  https://t.co/7NU202Un51",0,ip gpk containerboard check wells fargo downgrades international paper calls graphic packaging its top pick,107
$SHOP - Shopify is viewed cautiously by Wells Fargo into earnings print  https://t.co/Nxga2DgMs0,0,shop shopify is viewed cautiously by wells fargo into earnings print,68
"$LLY $NVO $NONOF - Novo, Eli Lilly to dominate &gt;$50B obesity market - Morgan Stanley  https://t.co/kyhSMj6EM5",0,lly nvo nonof novo eli lilly to dominate gtb obesity market morgan stanley,74
"$DXCM - Bernstein initiates DexCom with an outperform rating, citing long growth runway  https://t.co/aSt8VkluX7",0,dxcm bernstein initiates dexcom with an outperform rating citing long growth runway,83
"$SAVE $ULCC $JBLU - ISS shifts view, advises against Spirit-Frontier deal sans improved offer  https://t.co/oi3rtfwB1S",0,save ulcc jblu iss shifts view advises against spiritfrontier deal sans improved offer,86
$MLM $VMC - Martin Marietta raised to Outperform at Wolfe as 30% YTD drop 'excessive'  https://t.co/LjvGFCBXrQ,0,mlm vmc martin marietta raised to outperform at wolfe as ytd drop excessive,75
"$SRE $EIX $PCG - Sempra upgraded, Edison downgraded as BofA shuffles California utilities  https://t.co/cchOVoXB8i",0,sre eix pcg sempra upgraded edison downgraded as bofa shuffles california utilities,83
"$APTV $ADNT $AXL - Morgan Stanley cuts PT on Group 1 Automotive, American Axle, Adient, Aptiv, citing credit headwinds and slow growth  https://t.co/kYSZilbvto",0,aptv adnt axl morgan stanley cuts pt on group automotive american axle adient aptiv citing credit headwinds and slow growth,123
$TASK - Wells Fargo cuts price target on TaskUs to $20 from $37  https://t.co/4Wzwiym8FJ,0,task wells fargo cuts price target on taskus to from,52
"$CF $NTR - CF Industries, Nutrien slapped with Sell-equivalent ratings at Credit Suisse  https://t.co/xhJX1hSZvG",0,cf ntr cf industries nutrien slapped with sellequivalent ratings at credit suisse,81
"$AGS $LNW $IGT - Casino stock, PlayAGS sees lowered price target at Deutsche amid a mixed bag of upside and downside risks  https://t.co/HOsXQWzKr0",0,ags lnw igt casino stock playags sees lowered price target at deutsche amid a mixed bag of upside and downside risks,116
"$SQSP $SHOP $WIX - JMP downgrades Squarespace over product disparity with commerce platforms Shopify, Wix  https://t.co/7pUbq1ptpJ",0,sqsp shop wix jmp downgrades squarespace over product disparity with commerce platforms shopify wix,99
"$JELD - Barclays downgrades JELD-WEN to equal-weight from overweight, cuts PT to $17  https://t.co/DsjB1yczoG",0,jeld barclays downgrades jeldwen to equalweight from overweight cuts pt to,74
$SAH - Morgan Stanley cuts Sonic Automotive forecast to reflect slowing growth and credit headwinds  https://t.co/CF7Aiotm67,0,sah morgan stanley cuts sonic automotive forecast to reflect slowing growth and credit headwinds,96
$HMN - Horace Mann Educators price target cut post Q2 results estimates and lower 2022 outlook  https://t.co/WrymM4hjW7,0,hmn horace mann educators price target cut post q results estimates and lower outlook,85
$TWLO $RNG $BAND - Morgan Stanley cuts communication software stocks PT on cautious growth outlook  https://t.co/2eorGPK4ey,0,twlo rng band morgan stanley cuts communication software stocks pt on cautious growth outlook,93
"$APTV $FREY $LEA - Auto suppliers, dealers see estimates cut by Morgan Stanley ahead of earnings season  https://t.co/9r65lL6UQj",0,aptv frey lea auto suppliers dealers see estimates cut by morgan stanley ahead of earnings season,97
"$ZETA $WIX $USER - Freshworks, GoDaddy, ServiceNow among SaaS software price target cut at Morgan Stanley on slowing demand  https://t.co/houE4U0Fvj",0,zeta wix user freshworks godaddy servicenow among saas software price target cut at morgan stanley on slowing demand,116
"$PLNT $WEBR $EBR - Harley Davidson, Planet Fitness picked as resilient recession stocks by BofA  https://t.co/GT4q82INux",0,plnt webr ebr harley davidson planet fitness picked as resilient recession stocks by bofa,89
$AOS - Baird downgrades A. O. Smith to neutral  https://t.co/1YEMMqXfIF,0,aos baird downgrades a o smith to neutral,41
$C - Analysts relatively optimistic on Citigroup's Q2 earnings despite disappointing results by big banks  https://t.co/a8l4cwYqwL,0,c analysts relatively optimistic on citigroups q earnings despite disappointing results by big banks,100
"$FFIV - F5 slips as Credit Suisse downgrades, citing recent spending weakness for networking IT  https://t.co/XPrrbyANX8",0,ffiv f slips as credit suisse downgrades citing recent spending weakness for networking it,90
$ESRT - Empire State Realty Trust upgraded to Market Perform at BMO on tourist rebound  https://t.co/wYEB8EU1DC,0,esrt empire state realty trust upgraded to market perform at bmo on tourist rebound,83
$INSE - Inspired Entertainment is on watch after B. Riley calls out buying opportunity  https://t.co/DWAqC5InEu,0,inse inspired entertainment is on watch after b riley calls out buying opportunity,82
$RBA - Ritchie Bros. lands bull rating at BofA with auction cycle looking strong  https://t.co/PSxwIR09ZK,0,rba ritchie bros lands bull rating at bofa with auction cycle looking strong,76
